Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
ROE %,-16.52,-19.94,-21.66,27.19,-18.79,-0.56,6.43,-9.82,-6.04,11.87,15.02,4.66
ROA %,-3.65,-3.89,-3.34,3.58,-2.55,-0.23,2.48,-3.46,-1.81,3.69,4.81,2.01
ROCE %,-0.17,0.74,1.74,9.57,2.08,8.35,7.18,-2.76,-0.23,9.74,9.62,10.5
Asset Turnover Ratio,0.17,0.14,0.17,0.21,0.22,0.28,0.24,0.07,0.11,0.23,0.25,0.24
Fixed Asset Turnover,0.39,0.19,0.24,0.26,0.28,0.36,0.32,0.09,0.15,0.29,0.32,0.33
DuPont - Net Margin %,-21.76,-28.57,-19.24,17.23,-11.68,-0.81,10.19,-48.6,-15.94,16.22,19.62,8.27
DuPont - Asset Turnover,0.17,0.14,0.17,0.21,0.22,0.28,0.24,0.07,0.11,0.23,0.25,0.24
DuPont - Equity Multiplier,4.53,5.13,6.49,7.61,7.38,2.48,2.59,2.84,3.33,3.21,3.12,2.32
Financial Leverage Ratio,4.53,5.13,6.49,7.61,7.38,2.48,2.59,2.84,3.33,3.21,3.12,2.32
